1.0023271e-06 	3.5699292e-05
3.0219182e-06 	3.569934e-05
5.0865428e-06 	3.5699408e-05
7.2269684e-06 	3.5699477e-05
9.4750924e-06 	3.5699548e-05
1.1864417e-05 	3.5699622e-05
1.4430548e-05 	3.5699702e-05
1.7211727e-05 	3.5699789e-05
2.0249401e-05 	3.5699883e-05
2.3588836e-05 	3.5699987e-05
2.7279799e-05 	3.5700102e-05
3.1377293e-05 	3.570023e-05
3.5942381e-05 	3.5700372e-05
4.1043091e-05 	3.5700531e-05
4.6755437e-05 	3.5700709e-05
5.3164546e-05 	3.5700909e-05
6.0365928e-05 	3.5701133e-05
6.84669e-05 	3.5701385e-05
7.7588184e-05 	3.5701669e-05
8.786571e-05 	3.5701988e-05
9.9452634e-05 	3.5702348e-05
0.00011252163 	3.5702753e-05
0.00012726745 	3.570321e-05
0.00014390985 	3.5703725e-05
0.00016269684 	3.5704304e-05
0.00018390838 	3.5704956e-05
0.00020786057 	3.5705688e-05
0.00023491035 	3.5706508e-05
0.00026546084 	3.5707425e-05
0.0002999673 	3.5708444e-05
0.00033894396 	3.5709571e-05
0.00038297165 	3.5710804e-05
0.00043270649 	3.5712132e-05
0.00048888965 	3.5713527e-05
0.00055235838 	3.5714934e-05
0.0006240585 	3.5716243e-05
0.00070505852 	3.5717274e-05
0.00079656552 	3.5717739e-05
0.00089994316 	3.5717159e-05
0.001016732 	3.571477e-05
0.0011486725 	3.5709383e-05
0.0012977308 	3.5699213e-05
0.0014661282 	3.5681721e-05
0.0016563743 	3.5653535e-05
0.0018713042 	3.5610651e-05
0.0021141207 	3.554893e-05
0.0023884425 	3.5463019e-05
0.0026983575 	3.5344667e-05
0.0030484842 	3.5188059e-05
0.0034440402 	3.4997164e-05
0.0038909203 	3.4780695e-05
0.004395784 	3.4542728e-05
0.0049661549 	3.428263e-05
0.0056105328 	3.3998665e-05
0.0063385204 	3.3689209e-05
0.0071609664 	3.3353058e-05
0.0080901272 	3.2989657e-05
0.0091398493 	3.259906e-05
0.010325776 	3.2181785e-05
0.01166558 	3.1737322e-05
0.013179228 	3.1263164e-05
0.014889277 	3.0756675e-05
0.016821209 	3.0218372e-05
0.019003816 	2.9649736e-05
0.021469624 	2.9050821e-05
0.024255377 	2.8420368e-05
0.027402591 	2.7759904e-05
0.030958166 	2.7078084e-05
0.034975088 	2.6383783e-05
0.039513219 	2.5680071e-05
0.044640187 	2.497098e-05
0.050432395 	2.4270514e-05
0.056976161 	2.3595961e-05
0.064369002 	2.2956908e-05
0.072721087 	2.2356499e-05
0.082156882 	2.1805703e-05
0.092817002 	2.1318845e-05
0.10486031 	2.090328e-05
0.11846627 	2.0561224e-05
0.13383765 	2.029811e-05
0.15120352 	2.0115661e-05
0.17082266 	2.0019427e-05
0.19298745 	2.0007054e-05
0.21802819 	2.0084137e-05
0.24631805 	2.0241802e-05
0.27827861 	2.0485668e-05
0.31438616 	2.0799692e-05
0.35517877 	2.1187252e-05
0.40126436 	2.163184e-05
0.4533297 	2.2121958e-05
0.51215069 	2.2659092e-05
0.57860389 	2.3191792e-05
0.65367961 	2.375821e-05
0.73849664 	2.425817e-05
0.83431896 	2.473865e-05
0.94257453 	2.5125055e-05
