# Region            : all region0
# Cells             : 3000
# Volume            : 1.395979868100e-03
# Time              	max(p)	max(k)	max(omega)	max(nut)	max(epsilon)	max(nuTilda)
1                   	4.467730903525e-01	1.398064012854e-05	5.121949254062e-05
2                   	4.444407971465e-01	1.521410174187e-05	5.260979348845e-05
3                   	3.526707944638e-01	1.719078638545e-05	5.472743538260e-05
4                   	3.098664715837e-01	2.940759443393e-05	6.600670038600e-05
5                   	3.205830652402e-01	4.182213629189e-05	7.596636214731e-05
6                   	3.242527627272e-01	5.658435961180e-05	8.716494758371e-05
7                   	3.499116253471e-01	7.142209622126e-05	9.831876159194e-05
8                   	3.615558460718e-01	8.675199336264e-05	1.100488715198e-04
9                   	3.917439177942e-01	1.023613860090e-04	1.223597806582e-04
10                  	4.089300276758e-01	1.182759489479e-04	1.353488629376e-04
11                  	4.403129000256e-01	1.347128462191e-04	1.492231226657e-04
12                  	4.603041810568e-01	1.516772951462e-04	1.639874561862e-04
13                  	4.908170136021e-01	1.693613877371e-04	1.797913568000e-04
14                  	5.113736104392e-01	1.878322429327e-04	1.966697987636e-04
15                  	5.394231632770e-01	2.072053217539e-04	2.146988570013e-04
16                  	5.584892372280e-01	2.274936980640e-04	2.338598556504e-04
17                  	5.825084829071e-01	2.486806775806e-04	2.541053751682e-04
18                  	5.991294119454e-01	2.706272778984e-04	2.752709899417e-04
19                  	6.180332019757e-01	2.933162156596e-04	2.973108660254e-04
20                  	6.291799162864e-01	3.168888509351e-04	3.203391131275e-04
21                  	6.419996806800e-01	3.405104269462e-04	3.435169257810e-04
22                  	6.489872290343e-01	3.643407608252e-04	3.669792676277e-04
23                  	6.573051210930e-01	3.883042553989e-04	3.906357332449e-04
24                  	6.618298894215e-01	4.116708160048e-04	4.137510292863e-04
25                  	6.669160125444e-01	4.350798736753e-04	4.369465078881e-04
26                  	6.699467980298e-01	4.571596876603e-04	4.588533284874e-04
27                  	6.726321562707e-01	4.786990703156e-04	4.802459145862e-04
28                  	6.747048273804e-01	4.987199004166e-04	5.001466236069e-04
29                  	6.756057109884e-01	5.170216508531e-04	5.183503103239e-04
30                  	6.770477172549e-01	5.344276051111e-04	5.356720252462e-04
31                  	6.766392727204e-01	5.500444978199e-04	5.512199315053e-04
32                  	6.776617772378e-01	5.639348363451e-04	5.650535915029e-04
33                  	6.763178709994e-01	5.762479570637e-04	5.773198096633e-04
34                  	6.770869032780e-01	5.870354325071e-04	5.880685636888e-04
35                  	6.751039007667e-01	5.966369675771e-04	5.976373636564e-04
36                  	6.757487378544e-01	6.050402594729e-04	6.060132596955e-04
37                  	6.733399089121e-01	6.122440506702e-04	6.131944474998e-04
38                  	6.739673358511e-01	6.182600891236e-04	6.191922048119e-04
39                  	6.712859270516e-01	6.232862703396e-04	6.242035124442e-04
40                  	6.719624796515e-01	6.273221412033e-04	6.282276953577e-04
41                  	6.691268265321e-01	6.305604028302e-04	6.314567390245e-04
42                  	6.698966611600e-01	6.329852402918e-04	6.338747654609e-04
43                  	6.670056460133e-01	6.347850182867e-04	6.356695379957e-04
44                  	6.678855909563e-01	6.359410403869e-04	6.368223671792e-04
45                  	6.650114264781e-01	6.366306702056e-04	6.375101004425e-04
46                  	6.660066997728e-01	6.368255760129e-04	6.377044713430e-04
47                  	6.631978487547e-01	6.366988042922e-04	6.375780474841e-04
48                  	6.643099753107e-01	6.362045251844e-04	6.370851266449e-04
49                  	6.615948513826e-01	6.354975909944e-04	6.363801405491e-04
50                  	6.628203776889e-01	6.345144241818e-04	6.353996937634e-04
51                  	6.602129259177e-01	6.333980861226e-04	6.342864593710e-04
52                  	6.615457559706e-01	6.320734279776e-04	6.329655052004e-04
53                  	6.590502352435e-01	6.306813061492e-04	6.315773009008e-04
