"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
8.063097425e-07,80.54930115,2.47403409e-06,0.004256355111,101.0270233,-0.001617535832,-1.635692934e-05,0,0,0,0,0.0738286525,0,0
8.063097425e-07,80.54930115,2.47403409e-06,0.004256355111,101.0270233,-0.001617535832,-1.635692934e-05,0,0,0,0,0.0738286525,0,1
7.656107073e-07,76.63158417,3.48843173e-06,0.003780283034,101.5883331,-0.001464331988,-1.705051181e-05,2.941516256e-21,0,0,0,0.07922948152,0,0
7.656107073e-07,76.63158417,3.48843173e-06,0.003780283034,101.5883331,-0.001464331988,-1.705051181e-05,2.941516256e-21,0,0,0,0.07922948152,0,1
7.206114674e-07,72.32536316,1.03047505e-05,0.002999305259,106.1707687,-0.001304603298,-1.688768862e-05,2.941519084e-21,0,0,0,0.08479622751,0,0
7.206114674e-07,72.32536316,1.03047505e-05,0.002999305259,106.1707687,-0.001304603298,-1.688768862e-05,2.941519084e-21,0,0,0,0.08479622751,0,1
6.7337362e-07,67.83503723,2.464096906e-05,0.00199111132,114.6219635,-0.001147815958,-1.576893374e-05,0,0,0,0,0.09053400904,0,0
6.7337362e-07,67.83503723,2.464096906e-05,0.00199111132,114.6219635,-0.001147815958,-1.576893374e-05,0,0,0,0,0.09053400904,0,1
6.260373766e-07,63.36741257,0.0002764866222,0.0008399995859,195.5014954,-0.001001649536,-1.396331572e-05,0,0,0,0,0.0964480564,0,0
6.260373766e-07,63.36741257,0.0002764866222,0.0008399995859,195.5014954,-0.001001649536,-1.396331572e-05,0,0,0,0,0.0964480564,0,1
5.819843523e-07,59.23949814,0.0008861753158,-0.0003166430688,338.8864441,-0.0008752517751,-1.148556203e-05,0,0,0,0,0.1025438085,0,0
5.819843523e-07,59.23949814,0.0008861753158,-0.0003166430688,338.8864441,-0.0008752517751,-1.148556203e-05,0,0,0,0,0.1025438085,0,1
5.445895113e-07,55.75904465,0.00151293003,-0.001247074921,441.8742676,-0.0007751697558,-8.475456525e-06,0,0,0,0,0.108826831,0,0
5.445895113e-07,55.75904465,0.00151293003,-0.001247074921,441.8742676,-0.0007751697558,-8.475456525e-06,0,0,0,0,0.108826831,0,1
5.158186127e-07,53.09661484,0.00191461225,-0.00180744438,495.9620972,-0.0007026906824,-5.097408575e-06,-3.134878004e-21,0,0,0,0.1153028831,0,0
5.158186127e-07,53.09661484,0.00191461225,-0.00180744438,495.9620972,-0.0007026906824,-5.097408575e-06,-3.134878004e-21,0,0,0,0.1153028831,0,1
4.966914275e-07,51.33417892,0.002053176286,-0.002013288904,513.2893066,-0.0006566550583,-2.949963346e-06,2.150075315e-19,0,0,0,0.1219778955,0,0
