"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.649482959e-13,0.1890673786,1.670538722e-06,0.001877522911,15925794,-0.001423230511,-3.141028548e-10,-1.431710538e-20,0,0,0,1,0.6200000048,0.6200000048,0,0
1.638041238e-13,0.1886314452,1.655139044e-06,0.001841845457,15925794,-0.001416675048,-3.020654282e-10,-3.453706451e-21,0,0,0,1,0.6399999857,0.6399999857,0,0
1.627058541e-13,0.1882110387,1.640390678e-06,0.001807015506,15925794,-0.001410367899,-2.909638364e-10,-1.05407787e-20,0,0,0,1,0.6600000262,0.6600000262,0,0
1.616494075e-13,0.187804848,1.626234962e-06,0.001773030614,15925794,-0.001404287294,-2.805802535e-10,-1.499655832e-20,0,0,0,1,0.6800000072,0.6800000072,0,0
1.606314772e-13,0.1874118298,1.612623464e-06,0.001739415806,15925794,-0.00139841612,-2.707726265e-10,-8.928900148e-21,0,0,0,1,0.6999999881,0.6999999881,0,0
1.596487563e-13,0.1870308965,1.599508096e-06,0.001705915434,15925794,-0.001392736682,-2.615083428e-10,0,0,0,0,1,0.7200000286,0.7200000286,0,0
1.586989952e-13,0.1866613477,1.586856456e-06,0.001672553946,15925794,-0.001387237106,-2.528285914e-10,0,0,0,0,1,0.7400000095,0.7400000095,0,0
1.577907455e-13,0.1863061637,1.574787689e-06,0.00164010725,15925794,-0.001381964423,-2.448836411e-10,0,0,0,0,1,0.7599999905,0.7599999905,0,0
1.569088013e-13,0.185960114,1.563087608e-06,0.001608167542,15925794,-0.001376835862,-2.37296488e-10,0,0,0,0,1,0.7799999714,0.7799999714,0,0
1.560498285e-13,0.1856220663,1.551709147e-06,0.001576548908,15925794,-0.001371833496,-2.300168944e-10,0,0,0,0,1,0.8000000119,0.8000000119,0,0
1.552253335e-13,0.1852961332,1.540811922e-06,0.001544963452,15925794,-0.00136702077,-2.231977519e-10,0,0,0,0,1,0.8199999928,0.8199999928,0,0
1.544258021e-13,0.1849789619,1.530262125e-06,0.001513605006,15925794,-0.001362345647,-2.167652169e-10,0,0,0,0,1,0.8399999738,0.8399999738,0,0
1.536412328e-13,0.1846670657,1.519920943e-06,0.001482387423,15925794,-0.001357753179,-2.105641356e-10,0,0,0,0,1,0.8600000143,0.8600000143,0,0
1.528943123e-13,0.1843684912,1.510102607e-06,0.001451995922,15925794,-0.001353368862,-2.048756442e-10,0,0,0,0,1,0.8799999952,0.8799999952,0,0
1.52158112e-13,0.1840737462,1.500432518e-06,0.001421720372,15925794,-0.001349043916,-1.993109566e-10,1.553754373e-21,0,0,0,1,0.8999999762,0.8999999762,0,0
1.514485423e-13,0.1837884784,1.491131229e-06,0.001391732483,15925794,-0.001344866818,-1.940540506e-10,6.970256011e-21,0,0,0,1,0.9200000167,0.9200000167,0,0
1.507554932e-13,0.1835091561,1.48205811e-06,0.001361861243,15925794,-0.001340781804,-1.890233109e-10,7.746951949e-21,0,0,0,1,0.9399999976,0.9399999976,0,0
1.50082434e-13,0.1832370013,1.473260681e-06,0.001332130865,15925794,-0.001336807967,-1.842657554e-10,2.918892584e-21,0,0,0,1,0.9599999785,0.9599999785,0,0
1.494300967e-13,0.1829724759,1.464745992e-06,0.001302878023,15925794,-0.001332951011,-1.797716559e-10,-1.868331807e-21,0,0,0,1,0.9800000191,0.9800000191,0,0
1.487988471e-13,0.182715714,1.456518817e-06,0.001274110866,15925794,-0.001329213032,-1.755455087e-10,-6.613999661e-21,0,0,0,1,1,1,0,0
1.481796998e-13,0.1824633032,1.448458647e-06,0.001245474676,15925794,-0.001325542456,-1.714559883e-10,-7.680959253e-21,0,0,0,1,1.019999981,1.019999981,0,0
