-0.046805254 	0.010188856 	0.15704393 	2.4516599e-21 	-0.00041915801 	-0.013782566 	-1.19244e-20 	1.9778693e-22 	-2.5729672e-20 	-1.2513703e-38
-0.040820451 	0.024936809 	0.15586273 	3.4011834e-20 	-0.0016071875 	-0.026366372 	-2.4899794e-22 	3.0389782e-21 	-2.3333002e-20 	7.5942169e-39
-0.035593767 	0.042142521 	0.15372659 	7.4251092e-21 	-0.0037912833 	-0.041783991 	2.1825505e-21 	9.1285973e-22 	-3.2475764e-20 	-3.2446128e-38
-0.031029167 	0.055763537 	0.15099869 	-2.855044e-20 	-0.0066039693 	-0.055081475 	-3.8585847e-21 	-8.6793188e-21 	-4.7570975e-20 	-4.7705272e-38
-0.027042782 	0.066886293 	0.14796654 	-1.8394889e-20 	-0.009723722 	-0.06651018 	-1.280539e-20 	1.8784044e-20 	1.4136235e-20 	5.8691528e-38
-0.023561368 	0.076468579 	0.1448034 	-2.4546822e-20 	-0.012961121 	-0.076303346 	-2.2148115e-20 	7.8711232e-20 	1.2863911e-19 	-1.3127369e-37
-0.020520958 	0.084807944 	0.1416317 	-7.8647392e-20 	-0.016192588 	-0.084675104 	-2.5430091e-20 	4.0640592e-20 	7.2992854e-20 	4.5038273e-39
-0.017865688 	0.09195169 	0.1385458 	-6.5417521e-20 	-0.019324876 	-0.091820632 	-1.8813511e-20 	-1.1765327e-19 	-1.6850359e-19 	5.0755262e-37
-0.015546772 	0.098013346 	0.13561221 	5.1613318e-20 	-0.022293248 	-0.097915001 	-3.3790216e-21 	-1.5781131e-19 	-2.3480516e-19 	-3.6609973e-37
-0.013521602 	0.10316682 	0.13287086 	7.6028272e-20 	-0.025059558 	-0.10311248 	5.6068806e-21 	3.4192218e-20 	2.0047843e-20 	-9.6784646e-37
-0.011752967 	0.10756641 	0.13034148 	-2.7684191e-20 	-0.027605446 	-0.1075471 	6.2798481e-23 	9.651771e-20 	1.1810941e-19 	3.7983894e-38
-0.010208373 	0.11132765 	0.12803002 	-3.5003235e-20 	-0.029925785 	-0.11133408 	-1.8439078e-20 	-4.5176455e-20 	-3.6828635e-20 	-1.3662182e-37
-0.0088594378 	0.11454361 	0.12593309 	1.4751242e-20 	-0.032024277 	-0.11457172 	-1.4966987e-20 	-1.408943e-20 	-3.8857223e-21 	-6.6691936e-37
-0.0076813777 	0.1172958 	0.12404102 	-5.0020739e-20 	-0.033910459 	-0.11734338 	1.4039273e-20 	2.2057085e-20 	2.9777358e-20 	-3.0902668e-37
-0.006652547 	0.11965497 	0.12233997 	-3.8105247e-20 	-0.035597452 	-0.11971952 	8.3211141e-21 	-2.3605363e-19 	-2.3642721e-19 	-3.1507132e-37
-0.0057540422 	0.12168065 	0.1208135 	1.5691917e-19 	-0.037100287 	-0.12175958 	-1.740057e-20 	-2.0366118e-19 	-2.0456134e-19 	1.3572663e-37
-0.0049693545 	0.12342251 	0.1194435 	1.2035451e-19 	-0.038434737 	-0.12351362 	-1.0564829e-20 	4.4430255e-19 	4.1700028e-19 	-4.273902e-37
-0.0042840662 	0.12492232 	0.11821052 	-1.6753708e-19 	-0.039616529 	-0.12502384 	1.5638642e-20 	4.6218483e-19 	4.3547373e-19 	-5.6858843e-37
-0.003685586 	0.12621537 	0.11709363 	-8.9543182e-20 	-0.040660844 	-0.12632584 	1.8613394e-20 	-3.070804e-19 	-2.9112144e-19 	-3.0547873e-37
-0.0031629175 	0.12733141 	0.11606987 	1.4139483e-19 	-0.041582007 	-0.1274497 	-1.3667918e-21 	-2.8401644e-21 	-2.8941358e-20 	-2.4057664e-36
-0.0027064575 	0.12829608 	0.11511347 	-8.9009966e-20 	-0.042393338 	-0.12842085 	-8.5204683e-22 	5.2677062e-19 	4.7532684e-19 	-4.2986815e-37
-0.0023078191 	0.12913076 	0.11419318 	-2.683736e-19 	-0.043107053 	-0.12926081 	7.6490191e-21 	-6.0238565e-19 	-5.0313607e-19 	9.3963052e-37
-0.0019596776 	0.12985274 	0.11327266 	3.9806979e-20 	-0.043734201 	-0.12998773 	-5.6826426e-21 	-1.5304519e-18 	-1.3200698e-18 	-1.4843021e-36
-0.0016556366 	0.13047766 	0.1123165 	3.2423433e-19 	-0.044284798 	-0.13061716 	-1.5756149e-20 	-6.8974028e-19 	-5.7308564e-19 	-5.1372305e-37
-0.0013901097 	0.13101927 	0.11129486 	1.6659829e-19 	-0.04476786 	-0.13116241 	-1.028758e-20 	9.0960014e-19 	8.0638777e-19 	-5.3131132e-36
-0.001158218 	0.13148869 	0.11018735 	-1.3663423e-19 	-0.045191393 	-0.13163484 	1.7803014e-21 	9.4661857e-19 	8.0612149e-19 	-7.5541837e-36
-0.000955701 	0.13189539 	0.10898908 	-4.911736e-20 	-0.04556253 	-0.1320442 	6.6658223e-21 	-1.1278125e-19 	-1.3130908e-19 	-1.491082e-36
-0.00077883757 	0.13224777 	0.10771541 	8.6584661e-20 	-0.045887607 	-0.13239893 	3.1415568e-21 	7.9886712e-19 	6.0429387e-19 	-2.6808613e-36
-0.00062437811 	0.13255315 	0.10640317 	-1.6251597e-19 	-0.046172231 	-0.13270633 	4.2249771e-21 	1.1672538e-18 	9.2497724e-19 	-1.0422071e-36
-0.00048948463 	0.13281791 	0.10510866 	-2.1732666e-19 	-0.046421351 	-0.13297279 	4.5031672e-21 	-1.5328868e-18 	-1.2288025e-18 	1.1873215e-36
-0.00037167862 	0.13304758 	0.10390283 	1.0222567e-19 	-0.046639334 	-0.13320384 	-1.9794479e-21 	-2.5957415e-18 	-2.0485718e-18 	-4.4276308e-36
-0.00026879555 	0.13324661 	0.10286504 	9.1794106e-20 	-0.046830024 	-0.13340433 	-4.6706459e-21 	-4.5645508e-19 	-3.1497499e-19 	-1.0548223e-35
-0.00017894507 	0.13341823 	0.10207667 	-1.3382074e-19 	-0.046996801 	-0.13357849 	8.0682773e-22 	-1.7861527e-18 	-1.3083057e-18 	-6.2226971e-36
-0.0001004763 	0.13356652 	0.10161092 	7.5247512e-20 	-0.04714264 	-0.13372996 	2.519714e-21 	-4.4377457e-18 	-3.3808716e-18 	-2.041295e-37
-3.1947465e-05 	0.13369846 	0.101493 	3.6193497e-19 	-0.047271061 	-0.13386287 	9.8427277e-22 	-9.1502047e-19 	-7.3270427e-19 	2.9388787e-36
2.9991242e-05 	0.13382085 	0.10165088 	2.4326943e-19 	-0.047387967 	-0.1339837 	1.3513256e-21 	4.4299045e-18 	3.3052839e-18 	5.6303272e-37
