"yPlus","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.3621219993,0.00581284659,-0.005220904015,-3.488781658e-05,0,0,0,0,0,0,0
0.2937746346,0.003216341836,-0.003622087417,-1.768621041e-05,-1.115362314e-17,0,0,0,0.004011887591,0,0
0.2937746346,0.003216341836,-0.003622087417,-1.768621041e-05,-1.115362314e-17,0,0,0,0.004011887591,0,1
0.3621219993,0.00581284659,-0.005220904015,-3.488781658e-05,0,0,0,0,0,0,1
0.2080896646,0.0002519887639,-0.001735987025,-3.274633684e-07,-1.167444501e-17,0,0,0,0.008056204766,0,0
0.2080896646,0.0002519887639,-0.001735987025,-3.274633684e-07,-1.167444501e-17,0,0,0,0.008056204766,0,1
0.1822629571,-4.236073437e-05,-0.001325497753,-1.074885034e-07,-1.710800379e-18,0,0,0,0.0121342279,0,0
0.1822629571,-4.236073437e-05,-0.001325497753,-1.074885034e-07,-1.710800379e-18,0,0,0,0.0121342279,0,1
0.168388024,0.0001077541965,-0.001130075776,-3.617729405e-08,-1.189980065e-18,0,0,0,0.01624726504,0,0
0.168388024,0.0001077541965,-0.001130075776,-3.617729405e-08,-1.189980065e-18,0,0,0,0.01624726504,0,1
0.1590453982,0.0002358394559,-0.001007748186,-2.372605223e-08,0,0,0,0,0.02039666846,0,0
0.1590453982,0.0002358394559,-0.001007748186,-2.372605223e-08,0,0,0,0,0.02039666846,0,1
0.1519540697,0.0003115656145,-0.0009197092149,-1.745561384e-08,0,0,0,0,0.02458382212,0,0
0.1519540697,0.0003115656145,-0.0009197092149,-1.745561384e-08,0,0,0,0,0.02458382212,0,1
0.1462193727,0.0003493647382,-0.0008515070076,-1.366013969e-08,0,0,0,0,0.02881015837,0,0
0.1462193727,0.0003493647382,-0.0008515070076,-1.366013969e-08,0,0,0,0,0.02881015837,0,1
0.1414017826,0.0003738340165,-0.000796265027,-1.109627501e-08,0,0,0,0,0.03307715058,0,0
0.1414017826,0.0003738340165,-0.000796265027,-1.109627501e-08,0,0,0,0,0.03307715058,0,1
0.137258023,0.0003930951352,-0.0007502431981,-9.237946408e-09,-4.500587866e-19,0,0,0,0.03738632053,0,0
0.137258023,0.0003930951352,-0.0007502431981,-9.237946408e-09,-4.500587866e-19,0,0,0,0.03738632053,0,1
0.1336324364,0.0004070052819,-0.0007111072191,-7.836433724e-09,-4.5005889e-19,0,0,0,0.04173923656,0,0
0.1336324364,0.0004070052819,-0.0007111072191,-7.836433724e-09,-4.5005889e-19,0,0,0,0.04173923656,0,1
0.1304147393,0.0004163231642,-0.0006772566703,-6.750928705e-09,-3.34348394e-19,0,0,0,0.04613751546,0,0
0.1304147393,0.0004163231642,-0.0006772566703,-6.750928705e-09,-3.34348394e-19,0,0,0,0.04613751546,0,1
0.1275250912,0.0004227883474,-0.0006475637783,-5.889508881e-09,-4.092197877e-20,0,0,0,0.05058282986,0,0
0.1275250912,0.0004227883474,-0.0006475637783,-5.889508881e-09,-4.092197877e-20,0,0,0,0.05058282986,0,1
