# Region            : all region0
# Cells             : 3000
# Volume            : 1.395979868100e-03
# Time              	min(p)	min(k)	min(omega)	min(nut)	min(epsilon)	min(nuTilda)
1                   	2.240183536960e-03	4.118545681939e-09	6.197291328243e-06
2                   	1.961975235316e-03	7.888418813800e-08	1.298234023030e-05
3                   	1.330839687813e-03	8.076767938984e-10	4.123580060573e-06
4                   	1.063936114133e-03	9.313819146151e-08	1.353553388732e-05
5                   	1.073307999501e-03	9.141353502368e-10	4.253238391759e-06
6                   	1.036565254458e-03	9.588002274937e-08	1.363458718420e-05
7                   	1.109789715088e-03	1.093707958896e-09	4.448317759752e-06
8                   	1.127901035111e-03	9.717383098832e-08	1.368059692967e-05
9                   	1.242817655945e-03	1.083539883374e-09	4.437940740601e-06
10                  	1.310129604945e-03	9.749226748046e-08	1.369185098795e-05
11                  	1.448893299455e-03	1.064990660963e-09	4.418820723797e-06
12                  	1.553444772430e-03	9.738981652587e-08	1.368823319674e-05
13                  	1.706274275477e-03	1.056328768581e-09	4.409806663828e-06
14                  	1.836173324968e-03	9.716070693959e-08	1.368013251578e-05
15                  	1.994920513010e-03	1.052554075782e-09	4.405861157490e-06
16                  	2.137494471976e-03	9.692700432948e-08	1.367185477013e-05
17                  	2.287759324682e-03	1.048764441295e-09	4.401889346196e-06
18                  	2.420534320661e-03	9.673441602436e-08	1.366502211534e-05
19                  	2.535846600566e-03	1.038304864588e-09	4.390870827743e-06
20                  	2.638838968781e-03	9.658348822236e-08	1.365966040998e-05
21                  	2.713206607563e-03	1.036663041333e-09	4.389133719675e-06
22                  	2.796487745194e-03	9.645101667846e-08	1.365494921868e-05
23                  	2.843213623031e-03	1.038941233653e-09	4.391543575259e-06
24                  	2.916665148609e-03	9.634967605715e-08	1.365134190713e-05
25                  	2.943003540488e-03	1.039062700205e-09	4.391671950407e-06
26                  	3.010350409147e-03	9.627231554447e-08	1.364858628718e-05
27                  	3.020394249046e-03	1.038504756904e-09	4.391082180330e-06
28                  	3.083486333379e-03	9.621243500201e-08	1.364645218008e-05
29                  	3.079898280792e-03	1.038290332565e-09	4.390855461378e-06
30                  	3.139133427004e-03	9.414612948726e-08	1.357219669345e-05
31                  	3.124082432312e-03	1.038131117886e-09	4.390687094972e-06
32                  	3.179550027561e-03	8.704899410443e-08	1.330752376620e-05
33                  	3.155055966750e-03	1.037939107836e-09	4.390484022345e-06
34                  	3.206890646549e-03	8.117664201523e-08	1.307608276143e-05
35                  	3.174851377945e-03	1.037822698173e-09	4.390360892073e-06
36                  	3.223266291374e-03	7.528271292953e-08	1.283088131286e-05
37                  	3.185431433261e-03	1.037863108854e-09	4.390403636934e-06
38                  	3.230784107745e-03	7.036472968146e-08	1.261507444718e-05
39                  	3.188692686822e-03	1.037845667980e-09	4.390385188802e-06
40                  	3.231388990018e-03	6.646729431296e-08	1.243591144475e-05
41                  	3.186343040269e-03	1.037714532491e-09	4.390246472446e-06
42                  	3.226809041522e-03	6.208819973245e-08	1.222499966851e-05
43                  	3.179864384288e-03	1.037674727868e-09	4.390204364140e-06
44                  	3.218491676597e-03	5.839632954230e-08	1.203838156934e-05
45                  	3.170463842719e-03	1.037816586972e-09	4.390354427772e-06
46                  	3.207583151106e-03	5.548602991103e-08	1.188496062617e-05
47                  	3.159049795480e-03	1.037913417341e-09	4.390456849567e-06
48                  	3.195008251711e-03	5.326975805311e-08	1.176404563040e-05
49                  	3.146472793050e-03	1.037934258297e-09	4.390478893037e-06
50                  	3.181565112247e-03	5.160426445976e-08	1.167068383934e-05
51                  	3.133401996647e-03	1.037938099784e-09	4.390482956141e-06
52                  	3.167922418521e-03	5.021521794145e-08	1.159108223672e-05
53                  	3.120387515163e-03	1.037941967521e-09	4.390487046996e-06
54                  	3.154569088647e-03	4.845884519027e-08	1.148804109469e-05
55                  	3.107840892868e-03	1.037946516602e-09	4.390491858487e-06
56                  	3.141895291726e-03	4.708909349129e-08	1.140572833627e-05
57                  	3.096106793285e-03	1.037950419243e-09	4.390495986235e-06
58                  	3.130197894935e-03	4.586141869596e-08	1.133041954227e-05
59                  	3.085410126789e-03	1.037953054683e-09	4.390498773682e-06
60                  	3.119684330324e-03	4.479300317437e-08	1.126364464888e-05
61                  	3.075963655959e-03	1.037952095556e-09	4.390497759235e-06
62                  	3.110570717555e-03	4.342006899573e-08	1.117606783274e-05
63                  	3.067944194448e-03	1.037948891312e-09	4.390494370173e-06
64                  	3.102965129666e-03	4.218442136879e-08	1.109546132944e-05
65                  	3.061364253420e-03	1.037943973232e-09	4.390489168406e-06
66                  	3.096825249801e-03	4.116053416616e-08	1.102732137860e-05
67                  	3.056179239211e-03	1.037938163306e-09	4.390483023327e-06
68                  	3.092075737051e-03	4.031116043724e-08	1.096982754882e-05
69                  	3.052254107126e-03	1.037931847826e-09	4.390476343501e-06
70                  	3.088568332668e-03	3.959795161700e-08	1.092084730253e-05
71                  	3.049450236708e-03	1.037924959636e-09	4.390469057889e-06
72                  	3.086133705087e-03	3.897799079311e-08	1.087773244364e-05
73                  	3.047591479058e-03	1.037918063339e-09	4.390461763666e-06
74                  	3.084582473396e-03	3.844464377052e-08	1.084022908727e-05
75                  	3.046487663831e-03	1.037911036705e-09	4.390454331549e-06
76                  	3.083693779949e-03	3.760964322064e-08	1.078072572336e-05
77                  	3.045944661508e-03	1.037904002896e-09	4.390446891804e-06
78                  	3.083342521528e-03	3.683528306503e-08	1.072465467500e-05
79                  	3.045821289624e-03	1.037897213022e-09	4.390439710036e-06
80                  	3.083323813542e-03	3.621182105774e-08	1.067886630983e-05
81                  	3.045941719273e-03	1.037890832509e-09	4.390432961224e-06
82                  	3.083513111174e-03	3.568349668158e-08	1.063960152611e-05
83                  	3.046217342210e-03	1.037884437360e-09	4.390426196901e-06
